Periods,Units,beta,beta_sd,Type
10,10,1.99930646616408,0.0546846036097721,Stationær
30,10,1.99961081121371,0.0306669290651559,Stationær
50,10,1.9981291297131,0.0243429485468222,Stationær
70,10,2.00094124263383,0.0194118022972384,Stationær
100,10,1.99917889817257,0.0170111931781547,Stationær
200,10,2.00021788453544,0.0117042364591877,Stationær
300,10,1.99972374934459,0.0101450110818064,Stationær
400,10,1.99975243673598,0.00827123753877245,Stationær
500,10,1.99985506257614,0.00717851857644729,Stationær
10,30,1.99998729202462,0.0271798584697638,Stationær
30,30,1.99957718883276,0.0161810324499362,Stationær
50,30,2.00086719126192,0.0136358226283084,Stationær
70,30,2.00027858000219,0.0113822878329528,Stationær
100,30,1.99960785867558,0.00931313148890659,Stationær
200,30,2.00045303852346,0.00689684055259767,Stationær
300,30,2.00029135029517,0.00517104106681943,Stationær
400,30,2.00004371304017,0.00467925494678803,Stationær
500,30,2.00005782936125,0.00410859729773124,Stationær
10,50,2.00109353510191,0.0234456291848683,Stationær
30,50,2.00004012097356,0.0129598481101414,Stationær
50,50,2.00026352349385,0.0102461784673174,Stationær
70,50,1.9999483426777,0.00823426905381447,Stationær
100,50,1.99981490951481,0.00693333979502202,Stationær
200,50,2.0004493732775,0.00532798960840127,Stationær
300,50,1.99994147612541,0.0041668810430785,Stationær
400,50,2.00018505144291,0.00366037132269081,Stationær
500,50,2.00022502647582,0.00333859141695879,Stationær
10,70,2.00052321008653,0.0188373060668459,Stationær
30,70,1.99987235596797,0.0110658647811429,Stationær
50,70,2.00022948589177,0.00849080702722915,Stationær
70,70,1.99984833456222,0.00711933783692076,Stationær
100,70,1.99966172873866,0.00629618334284187,Stationær
200,70,2.00000126725687,0.00426079038332494,Stationær
300,70,1.99982627987266,0.00336746742840355,Stationær
400,70,2.00016854301624,0.00299360941164917,Stationær
500,70,1.99986725274267,0.00267264274597157,Stationær
10,100,1.99961680859446,0.0160937674864177,Stationær
30,100,2.00027116354201,0.00938705510345122,Stationær
50,100,2.00008449000561,0.00699320323356078,Stationær
70,100,2.00000022849365,0.00610880570206145,Stationær
100,100,2.00024283543561,0.00518461573879637,Stationær
200,100,1.99996213873205,0.00331310411990514,Stationær
300,100,2.00008289487042,0.00290702096303025,Stationær
400,100,2.00011962671428,0.00245947245038622,Stationær
500,100,2.00012177623203,0.00228007568988133,Stationær
10,200,2.00028745404267,0.0114572653086124,Stationær
30,200,1.99999400564896,0.00651732697529954,Stationær
50,200,1.99973143656281,0.00492441386291106,Stationær
70,200,1.99998706745095,0.00434929297735834,Stationær
100,200,1.99988234151238,0.00361074816555188,Stationær
200,200,1.99996631315848,0.00245063330029073,Stationær
300,200,2.00005290251084,0.00205732539245969,Stationær
