S,NS,Y_NS,X_NS,NS_2,Y_NS_2,X_NS_2
10|11|10|11,10|11|10|11,10|11|10|11,10|11|10|11,10|11|10|11,10|11|10|11,10|11|10|11
10|10|11|11,10|10|11|11,10|10|11|11,10|10|11|11,10|10|11|11,10|10|11|11,10|10|11|11
2.00644223719381|2.00078644619669|1.99779770049759|2.01323263010982,7.33701229803245|7.58788186842298|7.24050083189759|7.65428591701522,1.84695482338767|1.81100709622182|1.79991625208276|1.85682483937385,2.00196549611822|1.99946775614073|2.00177807803235|2.00061180619653,1.99824513390439|2.01771681086697|2.01407982715691|2.00121766586432,1.99179274840986|1.99379214277161|2.00999488820244|1.99882475072748,2.00464799322033|1.99698998749084|1.99900478074546|1.99881265477204
0.0578675316896626|0.0524238066915678|0.0494418984093195|0.0492684415328929,0.68483987200317|1.06953999543216|0.8239422736771|0.814034340910366,0.466886571539172|0.388327176826151|0.426585275651599|0.431363965386463,0.0287329095828723|0.0202769283150924|0.0249134004745825|0.0249438773608857,0.15934929059663|0.184991150594342|0.156565895762464|0.181917247113152,0.133184476931402|0.13648846615783|0.131961244884343|0.133890822643337,0.03581322628937|0.0348818162259805|0.0329637351544199|0.0290152627351813
Stationær|Stationær|Stationær|Stationær,Begge unit root (1)|Begge unit root (1)|Begge unit root (1)|Begge unit root (1),Y unit root (1)|Y unit root (1)|Y unit root (1)|Y unit root (1),X unit root (1)|X unit root (1)|X unit root (1)|X unit root (1),Kointegration|Kointegration|Kointegration|Kointegration,Y unit root (2)|Y unit root (2)|Y unit root (2)|Y unit root (2),X unit root (2)|X unit root (2)|X unit root (2)|X unit root (2)
