S,NS,Y_NS,X_NS,NS_2,Y_NS_2,X_NS_2
10|11|10|11,10|11|10|11,10|11|10|11,10|11|10|11,10|11|10|11,10|11|10|11,10|11|10|11
10|10|11|11,10|10|11|11,10|10|11|11,10|10|11|11,10|10|11|11,10|10|11|11,10|10|11|11
1.98913943611726|2.0037350350574|1.99712196064753|2.00314105714996,5.73260464748096|6.08055563963967|5.61410859285046|6.31556401326773,0.965620291584069|0.987115082362498|0.990941559318468|1.00464649043649,2.00171950305837|2.0004075032961|1.99242342995565|1.99957125706571,2.01879220382637|1.98876801876888|1.99818246455791|1.99315529479422,2.00707571936851|1.98401068746285|1.9832406505753|2.01675995594996,2.001077980688|1.99849820411139|1.99748281177432|1.98504908711759
0.0608230667323314|0.053104955975383|0.0488312374418611|0.0497611620978313,1.27436280594058|1.89038667373338|1.37116363159698|1.48987412458882,0.240635417607825|0.237808757808166|0.1917438787485|0.182066630474974,0.0432890599275305|0.0388006403218962|0.0351543109340018|0.0349139157648419,0.0777820253171253|0.103921291573684|0.09602705590635|0.0969325176656442,0.0872354387938641|0.0997389210807423|0.0796074279944356|0.071482898874905,0.0494546805513925|0.0376215613882795|0.046463679838441|0.0388964697479165
Stationær|Stationær|Stationær|Stationær,Begge unit root (1)|Begge unit root (1)|Begge unit root (1)|Begge unit root (1),Y unit root (1)|Y unit root (1)|Y unit root (1)|Y unit root (1),X unit root (1)|X unit root (1)|X unit root (1)|X unit root (1),Kointegration|Kointegration|Kointegration|Kointegration,Y unit root (2)|Y unit root (2)|Y unit root (2)|Y unit root (2),X unit root (2)|X unit root (2)|X unit root (2)|X unit root (2)
